,Missing Activities,Unexpected Activities,Wrong Orders actual,Wrong Orders expected
0,isolating myself,isolating and informing family,,
1,informing family,consulting doctor and getting tested,,
2,putting loved ones over financial worries,testing positive for Covid-19,,
3,experiencing worse symptoms,receiving symptomatic treatment at home,,
4,consulting family physician,receiving first dose of vaccine,,
5,getting tested for covid 19 in local testing center,,,
6,testing positive for covid 19,,,
7,focusing on resting while isolated,,,
8,receiving emotional support from family,,,
9,experiencing slow recovery,,,
10,returning to work with precautions,,,
11,getting vaccinated after consultation with doctor,,,
12,remainding optimistic and adhering to safety guidelines,,,
13,getting the second vaccination,,,
14,feeling thankful for healthcare personal,,,
